user_id,session_timestamp,trial_index,timestamp_unix,cue_time_unix,detection_time_unix,reaction_time_s,glove,confidence,velocity_mps,punch_type,imu_confirmed,baseline_velocity_mps
1,2026-02-07 15:49:10,0,1770450550.4137535,1770450547.863433,,,,0.0,0.0,,False,0.0
1,2026-02-07 15:49:14,1,1770450554.539961,1770450553.4135392,1770450554.539738,1.126,cross,0.0,0.0,,False,0.0
1,2026-02-07 15:49:20,2,1770450560.215672,1770450560.0134134,1770450560.2154548,0.202,jab,0.0,0.0,,False,0.0
1,2026-02-07 17:33:54,0,1770456834.4794302,1770456834.0609233,1770456834.4791288,0.418,cross,0.0,0.0,,False,0.0
1,2026-02-07 17:34:00,1,1770456840.711094,1770456838.2107475,,,,0.0,0.0,,False,0.0
1,2026-02-07 17:34:08,2,1770456848.0688121,1770456846.9607508,1770456848.0685165,1.108,cross,0.0,0.0,,False,0.0
1,2026-02-07 17:34:21,0,1770456861.9279213,1770456860.7607875,1770456861.927633,1.167,cross,0.0,0.0,,False,0.0
1,2026-02-07 17:34:28,1,1770456868.0507739,1770456867.1107733,1770456868.0504823,0.940,cross,0.0,0.0,,False,0.0
1,2026-02-07 17:34:31,2,1770456871.7444208,1770456870.710893,1770456871.7441216,1.033,jab,0.0,0.0,,False,0.0
1,2026-02-08 11:35:04,0,1770521704.707665,1770521704.1252208,1770521704.7073562,0.582,cross,0.0,0.0,,False,0.0
1,2026-02-08 11:35:10,1,1770521710.5459216,1770521709.6750681,1770521710.5456097,0.871,jab,0.0,0.0,,False,0.0
1,2026-02-08 11:35:16,2,1770521716.689,1770521715.7751603,1770521716.6887603,0.914,jab,0.0,0.0,,False,0.0
1,2026-02-08 11:35:36,0,1770521736.8496368,1770521736.325084,1770521736.8493514,0.524,jab,0.0,0.0,,False,0.0
1,2026-02-08 11:35:40,1,1770521740.3950167,1770521739.5252633,1770521740.3947816,0.870,jab,0.0,0.0,,False,0.0
1,2026-02-08 11:35:45,2,1770521745.5610738,1770521744.9251406,1770521745.5608516,0.636,jab,0.0,0.0,,False,0.0
1,2026-02-08 14:50:53,0,1770533453.5050602,1770533452.8945618,1770533453.504704,0.610,jab,0.0,0.0,,False,0.0
1,2026-02-08 14:50:59,1,1770533459.282765,1770533458.3944929,1770533459.2825553,0.888,jab,0.0,0.0,,False,0.0
1,2026-02-08 14:51:07,2,1770533467.0614598,1770533466.294402,1770533467.0611997,0.767,jab,0.0,0.0,,False,0.0
1,2026-02-08 15:23:29,0,1770535409.395145,1770535408.7580118,1770535409.3947697,0.637,jab,0.0,0.0,,False,0.0
1,2026-02-08 15:23:37,1,1770535417.2812576,1770535416.0081632,1770535417.281077,1.273,jab,0.0,0.0,,False,0.0
1,2026-02-08 15:23:42,2,1770535422.7527514,1770535421.8081548,1770535422.752438,0.944,jab,0.0,0.0,,False,0.0
